Caption,Category
Illegal dog fighting ring uncovered in Butwal. Investigation ongoing.,Illegal Activities
Doggo needz vaccinashun ASAP 💉😭,Vaccination
Protect our strays: vaccination camp at Pokhara this July 15th.,Vaccination
Urgent help needed for injured stray puppy #3640,Help
Local butcher illegally killed a street dog. Action needed! #4018,Illegal Activities
Cruel treatment of animals reported near Butwal. Raise your voice!,Illegal Activities
Report: Suspected poisoning of stray animals in Pokhara. Authorities notified.,Illegal Activities
Looking to adopt a 2-month-old vaccinated kitten #2909,Adoption
Looking to adopt a cute Beagle? Meet Luna at Biratnagar.,Adoption
Join us for a community pet vaccination event in Biratnagar.,Vaccination
"Stray cat hurt badly, ppl plz hlp 🙏",Help
Looking to adopt a cute Pug? Meet Coco at Dharan.,Adoption
Local butcher illegally killed a street dog. Action needed in Dharan!,Illegal Activities
Urgent help needed for injured stray puppy #9192,Help
Adopt Charlie and give them the loving family they deserve.,Adoption
Looking to adopt a 2-month-old vaccinated kitten #3361,Adoption
Sweet doggo ready for adop after vaccinashun 💉🐶,Adoption
OMG guys this pup needs HELP rn!! vaccinated last week tho 😭,Help
Illegal dog fighting ring uncovered in Lalitpur. Investigation ongoing.,Illegal Activities
Illegal dog fighting ring uncovered in Itahari. Investigation ongoing.,Illegal Activities
Protect our strays: vaccination camp at Butwal this this weekend.,Vaccination
Vaccination campaign for street dogs happening at Biratnagar on Monday.,Vaccination
Cruel treatment of animals reported near Kathmandu. Raise your voice!,Illegal Activities
Abandoned kitten found in Biratnagar. Looking for a foster home.,Help
Urgent help needed for injured stray puppy #2060,Help
Local butcher illegally killed a street dog. Action needed! #9122,Illegal Activities
Protect our strays: vaccination camp at Itahari this Tuesday.,Vaccination
Free rabies vaccination for street dogs in Pokhara this weekend #2279,Vaccination
Free rabies vaccination for street dogs in Pokhara this weekend #6447,Vaccination
Injured stray dog spotted near Pokhara. Immediate assistance needed!,Help
Looking to adopt a 2-month-old vaccinated kitten #4337,Adoption
Sweet doggo ready for adop after vaccinashun 💉🐶,Adoption
Free rabies vaccination for street dogs in Pokhara this weekend #9839,Vaccination
Urgent help needed for injured stray puppy #2456,Help
Looking to adopt a 2-month-old vaccinated kitten #277,Adoption
"Adopshun needed 4 lil pup, very friendly!",Adoption
Injured stray dog spotted near Dharan. Immediate assistance needed!,Help
Looking to adopt a cute Labrador? Meet Luna at Butwal.,Adoption
Puppy adoption scam?? or legit?? idk 🤔,Adoption
Urgent help needed for injured stray puppy #7716,Help
"Meet Bella, a lovable Pug looking for a forever home in Dharan.",Adoption
Vaccination campaign for street dogs happening at Biratnagar on Tuesday.,Vaccination
Local butcher illegally killed a street dog. Action needed! #7238,Illegal Activities
Local butcher illegally killed a street dog. Action needed! #3570,Illegal Activities
Protect our strays: vaccination camp at Pokhara this Tuesday.,Vaccination
Local butcher illegally killed a street dog. Action needed in Kathmandu!,Illegal Activities
"Wounded doggo seen near park, already vaccinated but needs HELP",Help
Animal abuse recorded on street cam 🚨,Illegal Activities
Puppy crying in pain at Itahari. Please help!,Help
Urgent help needed for injured stray puppy #8404,Help
Adopt Simba and give them the loving family they deserve.,Adoption
