Caption,Category
Injured stray dog spotted near Biratnagar. Immediate assistance needed!,Help
"Rescued stray vaccinated last week, adoption requests open",Adoption
Dog fighting and illegal adoption both spotted near town,Illegal Activities
Illegal puppy adoption scam disguised as vaccination drive 😡,Illegal Activities
Adopt Coco and give them the loving family they deserve.,Adoption
Join us for a community pet vaccination event in Butwal.,Vaccination
Report: Suspected poisoning of stray animals in Butwal. Authorities notified.,Illegal Activities
Protect our strays: vaccination camp at Pokhara this July 15th.,Vaccination
Free rabies vaccination for street dogs in Pokhara this weekend #1311,Vaccination
Free rabies vaccination for street dogs in Pokhara this weekend #9043,Vaccination
Urgent help needed for injured stray puppy #784,Help
Stray kitten offered for adoption without proper vaccination,Illegal Activities
Looking to adopt a cute Stray? Meet Simba at Dharan.,Adoption
Free rabies vaccination for street dogs in Pokhara this weekend #5947,Vaccination
Looking to adopt a 2-month-old vaccinated kitten #4977,Adoption
Local butcher illegally killed a street dog. Action needed! #4474,Illegal Activities
Stray dog vaccinated at camp but still needs HELP immediately 🙏,Help
Local butcher illegally killed a street dog. Action needed! #4054,Illegal Activities
Illegal puppy adoption scam disguised as vaccination drive 😡,Illegal Activities
Urgent help needed for injured stray puppy #4980,Help
Urgent help needed for injured stray puppy #7636,Help
Friendly Pug named Luna available for adoption in Bhaktapur.,Adoption
Protect our strays: vaccination camp at Dharan this August 1st.,Vaccination
Protect our strays: vaccination camp at Dharan this this weekend.,Vaccination
Vaccination campaign for street dogs happening at Biratnagar on Monday.,Vaccination
Dog rescued from illegal breeder got vaccination this week,Vaccination
Free rabies vaccination for street dogs in Pokhara this weekend #5107,Vaccination
"Meet Charlie, a lovable Pug looking for a forever home in Lalitpur.",Adoption
Stray dog vaccinated at camp but still needs HELP immediately 🙏,Help
Illegal dog fighting ring uncovered in Kathmandu. Investigation ongoing.,Illegal Activities
"Injured puppy already vaccinated, but still needs urgent help 😢",Help
Illegal puppy adoption scam disguised as vaccination drive 😡,Illegal Activities
"Free vaccination camp for stray animals, some need adoption too",Vaccination
Cruel treatment of animals reported near Bhaktapur. Raise your voice!,Illegal Activities
Vaccinated puppy looking for adoption — needs caring home 🏠,Adoption
"Rescued kitten vaccinated last week, but requires surgery ASAP",Help
Dog rescued from illegal breeder got vaccination this week,Vaccination
Urgent help needed for injured stray puppy #92,Help
Stray dog vaccinated at camp but still needs HELP immediately 🙏,Help
Urgent help needed for injured stray puppy #2976,Help
Adopt Coco and give them the loving family they deserve.,Adoption
Report: Suspected poisoning of stray animals in Itahari. Authorities notified.,Illegal Activities
"Doggo injured and now vaccinated, waiting for new home 🐕",Vaccination
Urgent help needed for injured stray puppy #9592,Help
Local butcher illegally killed a street dog. Action needed in Dharan!,Illegal Activities
Looking to adopt a 2-month-old vaccinated kitten #4905,Adoption
Free rabies vaccination drive for stray animals at Lalitpur on August 1st.,Vaccination
Looking to adopt a cute Persian? Meet Coco at Dharan.,Adoption
Puppy crying in pain at Pokhara. Please help!,Help
Join us for a community pet vaccination event in Bhaktapur.,Vaccination
Vaccination campaign for street dogs happening at Pokhara on August 1st.,Vaccination
Looking to adopt a 2-month-old vaccinated kitten #6557,Adoption
"Injured puppy already vaccinated, but still needs urgent help 😢",Help
Free rabies vaccination for street dogs in Pokhara this weekend #2983,Vaccination
Looking to adopt a cute Persian? Meet Bella at Lalitpur.,Adoption
"Doggo injured and now vaccinated, waiting for new home 🐕",Vaccination
Urgent help needed for injured stray puppy #2124,Help
Adopt Luna and give them the loving family they deserve.,Adoption
"Injured puppy already vaccinated, but still needs urgent help 😢",Help
Free rabies vaccination for street dogs in Pokhara this weekend #2335,Vaccination
Urgent help needed for injured stray puppy #1544,Help
Urgent help needed for injured stray puppy #1356,Help
"Meet Charlie, a lovable Beagle looking for a forever home in Kathmandu.",Adoption
"Free vaccination camp for stray animals, some need adoption too",Vaccination
Stray dog vaccinated at camp but still needs HELP immediately 🙏,Help
Doggo looking for adoption after accident — needs medical help first 🐶💔,Help
Free rabies vaccination for street dogs in Pokhara this weekend #3375,Vaccination
Local butcher illegally killed a street dog. Action needed! #7986,Illegal Activities
Free rabies vaccination drive for stray animals at Dharan on July 15th.,Vaccination
Urgent help needed for injured stray puppy #3332,Help
Join us for a community pet vaccination event in Butwal.,Vaccination
Report: Suspected poisoning of stray animals in Pokhara. Authorities notified.,Illegal Activities
"Doggo injured and now vaccinated, waiting for new home 🐕",Vaccination
Free rabies vaccination for street dogs in Pokhara this weekend #8079,Vaccination
Local butcher illegally killed a street dog. Action needed in Bhaktapur!,Illegal Activities
Wounded animal lying on the road at Lalitpur. Volunteers needed urgently!,Help
Protect our strays: vaccination camp at Kathmandu this Monday.,Vaccination
Doggo looking for adoption after accident — needs medical help first 🐶💔,Help
Urgent help needed for injured stray puppy #9992,Help
